Team	Hero	Name	Set	Split	Name_S	T0	C	Ct	B	R	G	Y	S	Br	Rr	Gr	Yr	Sr	SP	MO	FI	Drw	Dsc	Top	Bs	Wd	Cty	NR	C2	C4	CD	SK	LS	LT	TE	Pierc	HM	KO	KBS	AF	Vil	MF	VS	DC	SRD	FHQ	SHL	XTR	file	loc	id	uni	keywords
X-Men	Phoenix	Obliterating Fire	XM				3	5	1																											1		2										Soaring Flight	xmen3,jpg	5 2	Phoenix (XM)	Phoenix (XM)	""
X-Men	Phoenix	Life & Death Incarnate	XM				4	5			1									1																		2											xmen3,jpg	7 2	Phoenix (XM)	Phoenix (XM)	""
X-Men	Phoenix	Reincarnating Phoenix	XM				6	3		1												1																-2											xmen3,jpg	2 2	Phoenix (XM)	Phoenix (XM)	""
X-Men	Phoenix	Driven mad	XM				9	1			1										1			-1														2										umad?	xmen3,jpg	4 2	Phoenix (XM)	Phoenix (XM)	""
X-Men	Phoenix Force Cyclops	Burn out	SW2				4	5	1												1																	2											sw22,jpg	4 5	Phoenix Force Cyclops (SW2)	Phoenix Force Cyclops (SW2)	""
X-Men	Phoenix Force Cyclops	Reincarnate	SW2				3	5		1																												2											sw22,jpg	3 5	Phoenix Force Cyclops (SW2)	Phoenix Force Cyclops (SW2)	""
X-Men	Phoenix Force Cyclops	Rise from the ashes	SW2				6	3	1			1									1																	-2											sw22,jpg	5 5	Phoenix Force Cyclops (SW2)	Phoenix Force Cyclops (SW2)	""
X-Men	Phoenix Force Cyclops	Destruct is creat	SW2				8	1	1												1	1																1											sw22,jpg	6 5	Phoenix Force Cyclops (SW2)	Phoenix Force Cyclops (SW2)	""
X-Men	Polaris	EM pulse	XM				4	5	1					1								1														1													xmen3,jpg	3 2	Polaris (XM)	Polaris (XM)	""
X-Men	Polaris	Ride the M waves	XM				3	5		1					1					1																												Soaring Flight	xmen3,jpg	6 2	Polaris (XM)	Polaris (XM)	""
X-Men	Polaris	Subtle attunement	XM				6	3		1					1						1			1														1										Soaring Flight	xmen3,jpg	1 2	Polaris (XM)	Polaris (XM)	""
X-Men	Polaris	Reverse polarity	XM				8	1		1										1															1													Mix MO and FI	xmen3,jpg	10 1	Polaris (XM)	Polaris (XM)	""
X-Men	Professor X	Psionic Astral form	DC				2	5	1												1														1														darkcity,jpg	6 4	Professor X (DC)	Professor X (DC)	""
X-Men	Professor X	Class dismissed	DC				3	5				1					1			1																		1										Filter HQ	darkcity,jpg	7 4	Professor X (DC)	Professor X (DC)	""
X-Men	Professor X	Telepathic probe	DC				5	3	1												1																				1							Probe villain deck	darkcity,jpg	5 4	Professor X (DC)	Professor X (DC)	""
X-Men	Professor X	Mind Control	DC				8	1		1											1																											Gain villains as heroes	darkcity,jpg	8 4	Professor X (DC)	Professor X (DC)	""
X-Men	Psylocke	Psychic Knife	XM				2	5				1					1					1														1													xmen3,jpg	10 3	Psylocke (XM)	Psylocke (XM)	""
X-Men	Psylocke	Precognition	XM				3	5		1										1		1																										Probe hero deck	xmen3,jpg	5 3	Psylocke (XM)	Psylocke (XM)	""
X-Men	Psylocke	Butterfly effect	XM				5	3		1					1																				1	1													xmen3,jpg	8 3	Psylocke (XM)	Psylocke (XM)	""
X-Men	Psylocke	Telepathic NJ	XM				7	1				1																								1												Free heroes!	xmen3,jpg	7 3	Psylocke (XM)	Psylocke (XM)	""
X-Men	Rogue	Energy drain	B				3	5		1					1					1																		1											base2,jpg	4 3	Rogue (B)	Rogue (B)	""
X-Men	Rogue	Borrowed brawn	B				4	5			1					1					1																												base2,jpg	5 3	Rogue (B)	Rogue (B)	""
X-Men	Rogue	Copy powers	B				5	3		1																																						Clone	base2,jpg	2 3	Rogue (B)	Rogue (B)	""
X-Men	Rogue	Steal abilities	B				8	1			1										1																											Clone	base2,jpg	3 3	Rogue (B)	Rogue (B)	""
X-Men	Ruby Summers	Guerilla warfare	SW2				3	5	1												1		-1																										sw22,jpg	7 5	Ruby Summers (SW2)	Ruby Summers (SW2)	""
X-Men	Ruby Summers	Heir to legends	SW2				5	5	1		1									1	1		1																										sw22,jpg	8 5	Ruby Summers (SW2)	Ruby Summers (SW2)	""
X-Men	Ruby Summers	Form of solid ruby	SW2				6	3			1									1	1														1														sw22,jpg	9 5	Ruby Summers (SW2)	Ruby Summers (SW2)	""
X-Men	Ruby Summers	Extinction blast	SW2				8	1	1												1		1																										sw22,jpg	10 5	Ruby Summers (SW2)	Ruby Summers (SW2)	""
X-Men	Soulsword Colossus	Invade the inferno	SW2		Colossus		3	5		1					1					1					1													1											sw22,jpg	1 4	Soulsword Colossus (SW2)	Soulsword Colossus (SW2)	""
X-Men	Soulsword Colossus	Steel interception	SW2		Colossus		4	5		1	1										1					-1																							sw22,jpg	2 4	Soulsword Colossus (SW2)	Soulsword Colossus (SW2)	""
X-Men	Soulsword Colossus	Possessed by the SS	SW2		Colossus		6	3			1					1					1					1																						Gets other players wounds	sw22,jpg	3 4	Soulsword Colossus (SW2)	Soulsword Colossus (SW2)	""
X-Men	Soulsword Colossus	Rescue family from hell	SW2		Colossus		7	1				1									1														1													Free heroes!	sw22,jpg	4 4	Soulsword Colossus (SW2)	Soulsword Colossus (SW2)	""
X-Men	Storm	Lightning Bolt	B				4	5	1												1						-1																					Rooftops	base2,jpg	6 5	Storm (B)	Storm (B)	""
X-Men	Storm	Gathering stormclouds	B				3	5	1					1						1		1																											base2,jpg	4 5	Storm (B)	Storm (B)	""
X-Men	Storm	Spinning cyclone	B				6	3		1											1						1																						base2,jpg	5 5	Storm (B)	Storm (B)	""
X-Men	Storm	Tidal Wave	B				7	1	1					1							1						-1																						base2,jpg	3 5	Storm (B)	Storm (B)	""
X-Men	Terrible Jean Grey	Bridge to nowhere	SW2		Jean Grey		4	5				1															-1																					Might maybe draw you something extra maybe	sw22,jpg	4 7	Terrible Jean Grey (SW2)	Terrible Jean Grey (SW2)	""
X-Men	Terrible Jean Grey	Throw over the rail	SW2		Jean Grey		3	5		1					1						1						-1																						sw22,jpg	3 7	Terrible Jean Grey (SW2)	Terrible Jean Grey (SW2)	""
X-Men	Terrible Jean Grey	Telekinesis	SW2		Jean Grey		5	3	1	1											1						1																						sw22,jpg	5 7	Terrible Jean Grey (SW2)	Terrible Jean Grey (SW2)	""
X-Men	Terrible Jean Grey	Change history	SW2		Jean Grey		7	1		1											1						-1								1														sw22,jpg	6 7	Terrible Jean Grey (SW2)	Terrible Jean Grey (SW2)	""
X-Men	Wolverine	Keen sense	B				2	5				1					1				1	1																											base2,jpg	4 6	Wolverine (B)	Wolverine (B)	""
X-Men	Wolverine	Healing factor	B				3	5				1									1					-1																							base2,jpg	3 6	Wolverine (B)	Wolverine (B)	""
X-Men	Wolverine	Frenzied slashing	B				5	3				1					1				1	1																											base2,jpg	1 6	Wolverine (B)	Wolverine (B)	""
